price,lot_size,waterfront,age,land_value,new_construct,central_air,living_area,pct_college,bedrooms,fireplaces,bathrooms,rooms,test,living_area_log,land_value_log,price_log,fuel_type_Gas,fuel_type_Oil,heat_type_Hot Air,heat_type_Hot Water,sewer_type_Private,sewer_type_Public
132500,0.09,0,42,50000,0,0,906,35,2,1,1.0,5,0,6.80903930604298,10.819778284410283,11.794337924408413,False,False,False,False,True,False
181115,0.92,0,0,22300,0,0,1953,51,3,0,2.5,6,1,7.577121930876679,10.01234195744821,12.106887467608836,True,False,False,True,True,False
109000,0.19,0,133,7300,0,0,1944,51,4,1,1.0,8,1,7.572502985020384,8.895629627136483,11.59910316121128,True,False,False,True,False,True
155000,0.41,0,13,18700,0,0,1944,51,3,1,1.5,5,0,7.572502985020384,9.836278802842678,11.951180395901384,True,False,True,False,True,False
86060,0.11,0,0,15000,1,1,840,51,2,0,1.0,3,0,6.733401891837359,9.615805480084347,11.362800006392591,True,False,True,False,False,True
120000,0.68,0,31,14000,0,0,1152,22,4,1,1.0,8,1,7.049254841255837,9.546812608597396,11.695247021764184,True,False,True,False,True,False
153000,0.4,0,33,23300,0,0,2752,51,4,1,1.5,8,0,7.920083199053234,10.056208639553791,11.938193200374572,False,True,False,True,True,False
170000,1.21,0,23,14600,0,0,1662,35,4,1,1.5,9,0,7.415776975415394,9.588776807696428,12.043553716032399,False,True,True,False,True,False
90000,0.83,0,36,22200,0,0,1632,51,3,0,1.5,8,0,7.397561535524052,10.00784756786037,11.407564949312402,False,False,False,False,True,False
122900,1.94,0,4,21200,0,0,1416,44,3,0,1.5,6,1,7.255591274253665,9.961756460660103,11.719126295554126,True,False,True,False,False,False
325000,2.29,0,123,12600,0,0,2894,51,7,0,1.0,12,0,7.970394907191429,9.441452092939569,12.691580461311874,False,True,True,False,True,False
120000,0.92,0,1,22300,0,0,1624,51,3,0,2.0,6,0,7.392647520721623,10.01234195744821,11.695247021764184,True,False,True,False,True,False
85860,8.97,0,13,4800,0,0,704,41,2,0,1.0,4,0,6.556778356158042,8.476371196895983,11.360473341778551,False,False,False,False,True,False
97000,0.11,0,153,3100,0,0,1383,57,3,0,2.0,5,0,7.232010331664759,8.039157390473237,11.48246625748552,True,False,False,True,False,True
127000,0.14,0,9,300,0,0,1300,41,3,0,1.5,8,0,7.170119543449628,5.703782474656201,11.751942365440728,False,True,True,False,True,False
89900,0.0,0,88,2500,0,0,936,57,3,0,1.0,4,0,6.841615476477592,7.824046010856292,11.406453220459712,True,False,False,True,False,True
155000,0.13,0,9,300,0,0,1300,41,3,0,1.5,7,0,7.170119543449628,5.703782474656201,11.951180395901384,False,True,True,False,True,False
253750,2.0,0,0,49800,0,1,2816,71,4,1,2.5,12,0,7.943072717277933,10.815770263012745,12.444104809338134,True,False,True,False,False,False
60000,0.21,0,82,8500,0,0,924,35,2,0,1.0,6,0,6.828712071641684,9.047821442478408,11.002099841204238,False,True,False,True,True,False
87500,0.88,0,17,19400,0,0,1092,35,3,0,1.0,6,0,6.9957661563048505,9.87302834505142,11.379394072345706,False,True,True,False,True,False
112000,1.0,0,12,8600,0,0,1056,35,3,0,1.0,7,0,6.962243464266207,9.0595174822416,11.626254150277232,False,False,False,False,True,False
104900,0.43,0,21,5600,0,0,1600,39,3,0,1.5,4,1,7.3777589082278725,8.630521876723241,11.560762794384388,False,False,False,False,False,True
148635,0.32,0,1,6200,1,1,1576,39,3,0,2.5,7,0,7.362645270417825,8.732304571033183,11.90924891516111,True,False,True,False,True,False
150000,0.03,0,24,5100,0,0,2080,39,3,0,2.0,6,0,7.640123172695364,8.536995818712418,11.918390573078392,False,True,True,False,True,False
90400,0.36,0,16,5200,0,0,1600,39,3,0,1.5,4,0,7.3777589082278725,8.556413904569519,11.411999546380267,False,False,False,False,False,True
248800,4.0,0,28,5500,0,0,2224,39,4,0,3.0,10,0,7.707062655370473,8.612503371220562,12.424404639847161,False,True,True,False,True,False
135000,1.83,0,126,6000,0,0,1656,39,3,0,1.0,6,1,7.412160334945205,8.699514748210191,11.813030057420567,False,True,False,True,True,False
145000,3.0,0,26,4500,0,0,1170,39,4,0,1.5,5,1,7.064759027791802,8.411832675758411,11.884489021402711,False,True,True,False,True,False
457000,0.43,1,53,2700,0,0,2461,39,4,1,2.0,10,1,7.8083230503910555,7.90100705199242,13.032438669876342,False,True,True,False,False,True
140000,0.44,0,56,19400,0,1,1544,71,3,1,1.5,7,0,7.342131730584722,9.87302834505142,11.84939770159144,False,True,True,False,True,False
130000,1.24,0,51,24800,0,0,1220,71,2,2,1.0,4,0,7.106606137727303,10.118598932153073,11.77528972943772,False,True,False,True,True,False
