suburb,postalCode,year,bed,mean,median,count,SydneyRegion
Abbotsbury,2176.0,2011,5.0,850000.0,850000.0,1,Western Suburbs
Abbotsbury,2176.0,2014,3.0,705000.0,705000.0,1,Western Suburbs
Abbotsbury,2176.0,2014,4.0,761500.0,761500.0,2,Western Suburbs
Abbotsbury,2176.0,2014,5.0,1210000.0,972500.0,4,Western Suburbs
Abbotsbury,2176.0,2014,6.0,1690000.0,1690000.0,1,Western Suburbs
Abbotsbury,2176.0,2015,3.0,780000.0,780000.0,2,Western Suburbs
Abbotsbury,2176.0,2015,4.0,978000.0,960000.0,20,Western Suburbs
Abbotsbury,2176.0,2015,5.0,1149818.18,1120000.0,11,Western Suburbs
Abbotsbury,2176.0,2015,6.0,1365000.0,1365000.0,2,Western Suburbs
Abbotsbury,2176.0,2016,3.0,809000.0,807000.0,3,Western Suburbs
Abbotsbury,2176.0,2016,4.0,1003875.0,958500.0,16,Western Suburbs
Abbotsbury,2176.0,2016,5.0,1137200.0,1000000.0,5,Western Suburbs
Abbotsbury,2176.0,2016,6.0,1141666.67,1095000.0,3,Western Suburbs
Abbotsbury,2176.0,2017,3.0,842666.67,860500.0,6,Western Suburbs
Abbotsbury,2176.0,2017,4.0,1072357.14,1052500.0,14,Western Suburbs
Abbotsbury,2176.0,2017,5.0,1415000.0,1395000.0,7,Western Suburbs
Abbotsbury,2176.0,2018,3.0,796000.0,796000.0,2,Western Suburbs
Abbotsbury,2176.0,2018,4.0,1184285.71,1020000.0,7,Western Suburbs
Abbotsbury,2176.0,2018,5.0,1243214.29,1225000.0,7,Western Suburbs
Abbotsbury,2176.0,2019,3.0,773000.0,773000.0,2,Western Suburbs
Abbotsbury,2176.0,2019,4.0,865833.33,856000.0,6,Western Suburbs
Abbotsbury,2176.0,2019,5.0,1016666.67,930000.0,3,Western Suburbs
Abbotsbury,2176.0,2021,4.0,1382375.0,1397500.0,8,Western Suburbs
Abbotsbury,2176.0,2021,5.0,1941666.67,2005000.0,3,Western Suburbs
Abbotsbury,2176.0,2021,6.0,1210000.0,1210000.0,1,Western Suburbs
Abbotsford,2046.0,2007,2.0,900000.0,900000.0,1,Inner West
Abbotsford,2046.0,2008,2.0,616333.33,630000.0,3,Inner West
Abbotsford,2046.0,2008,3.0,785500.0,770000.0,3,Inner West
Abbotsford,2046.0,2008,4.0,1147000.0,1147000.0,1,Inner West
Abbotsford,2046.0,2009,2.0,716187.5,664500.0,8,Inner West
Abbotsford,2046.0,2009,3.0,1143333.33,1180000.0,3,Inner West
Abbotsford,2046.0,2010,2.0,929250.0,646000.0,4,Inner West
Abbotsford,2046.0,2010,3.0,969166.67,975000.0,6,Inner West
Abbotsford,2046.0,2010,4.0,1273666.67,1260000.0,6,Inner West
Abbotsford,2046.0,2010,5.0,4025000.0,4025000.0,1,Inner West
Abbotsford,2046.0,2011,2.0,866111.11,740000.0,9,Inner West
Abbotsford,2046.0,2011,3.0,1125500.0,1133500.0,7,Inner West
Abbotsford,2046.0,2011,5.0,1585000.0,1585000.0,2,Inner West
Abbotsford,2046.0,2012,2.0,966100.0,900000.0,5,Inner West
Abbotsford,2046.0,2012,3.0,1138571.43,1025000.0,7,Inner West
Abbotsford,2046.0,2012,4.0,1808000.0,1600000.0,5,Inner West
Abbotsford,2046.0,2013,2.0,825600.0,783000.0,5,Inner West
Abbotsford,2046.0,2013,3.0,1306250.0,1277500.0,4,Inner West
Abbotsford,2046.0,2013,4.0,2548333.33,2110000.0,3,Inner West
Abbotsford,2046.0,2013,5.0,2415000.0,2415000.0,1,Inner West
Abbotsford,2046.0,2014,2.0,885958.33,811750.0,12,Inner West
Abbotsford,2046.0,2014,3.0,1295687.5,1332500.0,8,Inner West
Abbotsford,2046.0,2014,4.0,1357500.0,1357500.0,1,Inner West
Abbotsford,2046.0,2014,5.0,1616250.0,1616250.0,2,Inner West
Abbotsford,2046.0,2014,6.0,2147000.0,2147000.0,1,Inner West
Abbotsford,2046.0,2015,2.0,1073166.67,940000.0,9,Inner West
Abbotsford,2046.0,2015,3.0,1716555.56,1725000.0,9,Inner West
Abbotsford,2046.0,2015,4.0,2865400.0,2250000.0,5,Inner West
Abbotsford,2046.0,2015,6.0,5215000.0,5215000.0,1,Inner West
Abbotsford,2046.0,2016,2.0,1143555.56,1110000.0,9,Inner West
Abbotsford,2046.0,2016,3.0,2007733.33,1870000.0,15,Inner West
Abbotsford,2046.0,2016,4.0,2300000.0,2300000.0,1,Inner West
Abbotsford,2046.0,2016,5.0,2450000.0,2450000.0,1,Inner West
Abbotsford,2046.0,2017,2.0,1382200.0,1197500.0,10,Inner West
Abbotsford,2046.0,2017,3.0,1902952.38,1910000.0,21,Inner West
Abbotsford,2046.0,2017,4.0,3036666.67,3210000.0,3,Inner West
Abbotsford,2046.0,2017,5.0,4100000.0,4100000.0,2,Inner West
Abbotsford,2046.0,2017,6.0,2560000.0,2560000.0,1,Inner West
Abbotsford,2046.0,2017,7.0,3700000.0,3700000.0,1,Inner West
Abbotsford,2046.0,2018,2.0,1104533.33,1100000.0,15,Inner West
Abbotsford,2046.0,2018,3.0,2166000.0,1892500.0,10,Inner West
Abbotsford,2046.0,2018,4.0,2780000.0,3000000.0,4,Inner West
Abbotsford,2046.0,2018,5.0,2807500.0,2807500.0,2,Inner West
Abbotsford,2046.0,2018,6.0,2810000.0,2810000.0,1,Inner West
Abbotsford,2046.0,2018,7.0,2900000.0,2900000.0,1,Inner West
Abbotsford,2046.0,2019,2.0,980000.0,980000.0,1,Inner West
Abbotsford,2046.0,2019,3.0,1972500.0,1775000.0,4,Inner West
Abbotsford,2046.0,2019,4.0,2305000.0,2305000.0,2,Inner West
Abbotsford,2046.0,2021,2.0,1143000.0,1143000.0,2,Inner West
Abbotsford,2046.0,2021,3.0,3192500.0,3192500.0,2,Inner West
Abbotsford,2046.0,2021,4.0,3210000.0,3210000.0,1,Inner West
Alexandria,2015.0,2007,2.0,557000.0,572500.0,4,Inner South
Alexandria,2015.0,2007,3.0,810000.0,810000.0,1,Inner South
Alexandria,2015.0,2007,4.0,808750.0,808750.0,2,Inner South
Alexandria,2015.0,2008,1.0,491833.33,485000.0,3,Inner South
Alexandria,2015.0,2008,2.0,688924.46,658343.5,24,Inner South
Alexandria,2015.0,2008,3.0,818511.36,815125.0,22,Inner South
Alexandria,2015.0,2008,4.0,1265000.0,1320000.0,3,Inner South
Alexandria,2015.0,2009,1.0,539666.67,540000.0,3,Inner South
Alexandria,2015.0,2009,2.0,676333.33,669000.0,33,Inner South
Alexandria,2015.0,2009,3.0,859670.37,885000.0,27,Inner South
Alexandria,2015.0,2009,4.0,1140250.0,1187500.0,8,Inner South
Alexandria,2015.0,2010,1.0,627500.0,627500.0,2,Inner South
Alexandria,2015.0,2010,2.0,767629.63,740000.0,27,Inner South
Alexandria,2015.0,2010,3.0,892916.67,887500.0,30,Inner South
Alexandria,2015.0,2010,4.0,1113082.25,960000.0,8,Inner South
Alexandria,2015.0,2010,6.0,1430000.0,1430000.0,1,Inner South
Alexandria,2015.0,2011,1.0,906166.67,652500.0,3,Inner South
Alexandria,2015.0,2011,2.0,773058.82,763500.0,34,Inner South
Alexandria,2015.0,2011,3.0,930640.0,930000.0,25,Inner South
Alexandria,2015.0,2011,4.0,1016000.0,1025000.0,7,Inner South
Alexandria,2015.0,2011,6.0,2175000.0,2175000.0,1,Inner South
Alexandria,2015.0,2012,1.0,624500.0,626500.0,4,Inner South
Alexandria,2015.0,2012,2.0,772256.62,770000.0,37,Inner South
Alexandria,2015.0,2012,3.0,958184.0,905000.0,25,Inner South
Alexandria,2015.0,2012,4.0,1154050.0,1151000.0,10,Inner South
Alexandria,2015.0,2013,0.0,1260000.0,1260000.0,2,Inner South
Alexandria,2015.0,2013,1.0,750250.0,715500.0,4,Inner South
Alexandria,2015.0,2013,2.0,826500.0,835000.0,24,Inner South
Alexandria,2015.0,2013,3.0,1132421.05,1160000.0,19,Inner South
Alexandria,2015.0,2013,4.0,1393000.0,1452500.0,10,Inner South
Alexandria,2015.0,2013,5.0,1340000.0,1340000.0,2,Inner South
Alexandria,2015.0,2014,1.0,971666.67,755000.0,3,Inner South
Alexandria,2015.0,2014,2.0,974604.17,927500.0,24,Inner South
Alexandria,2015.0,2014,3.0,1455310.34,1417000.0,29,Inner South
Alexandria,2015.0,2014,4.0,1312894.74,1300000.0,19,Inner South
Alexandria,2015.0,2014,5.0,1680000.0,1680000.0,2,Inner South
Alexandria,2015.0,2015,1.0,992375.0,953750.0,4,Inner South
Alexandria,2015.0,2015,2.0,1169741.65,1125000.0,17,Inner South
Alexandria,2015.0,2015,3.0,1423326.09,1425000.0,23,Inner South
Alexandria,2015.0,2015,4.0,1881200.0,1910000.0,10,Inner South
Alexandria,2015.0,2016,0.0,2192500.0,2192500.0,2,Inner South
Alexandria,2015.0,2016,1.0,1022500.0,1022500.0,2,Inner South
Alexandria,2015.0,2016,2.0,1191735.29,1217500.0,17,Inner South
Alexandria,2015.0,2016,3.0,1554291.67,1540000.0,24,Inner South
Alexandria,2015.0,2016,4.0,2044500.0,2022500.0,10,Inner South
Alexandria,2015.0,2017,1.0,829000.0,720000.0,3,Inner South
Alexandria,2015.0,2017,2.0,1400750.0,1441000.0,20,Inner South
Alexandria,2015.0,2017,3.0,1720606.06,1730000.0,33,Inner South
Alexandria,2015.0,2017,4.0,2023214.29,1955000.0,14,Inner South
Alexandria,2015.0,2017,30.0,8300000.0,8300000.0,1,Inner South
Alexandria,2015.0,2018,1.0,1262400.0,1030000.0,5,Inner South
Alexandria,2015.0,2018,2.0,1253089.29,1215000.0,28,Inner South
Alexandria,2015.0,2018,3.0,1744390.9,1618000.0,30,Inner South
Alexandria,2015.0,2018,4.0,2032000.0,1968000.0,9,Inner South
Alexandria,2015.0,2018,5.0,1695000.0,1695000.0,2,Inner South
Alexandria,2015.0,2019,1.0,826000.0,826000.0,1,Inner South
Alexandria,2015.0,2019,2.0,1165750.0,1010000.0,8,Inner South
