Date,suburb,postalCode,sellPrice,bed,bath,car,propType,year,SydneyRegion
2019-06-19,Avalon Beach,2107.0,1210000,4.0,2,2.0,house,2019,Northern Beaches
2019-06-13,Avalon Beach,2107.0,2250000,4.0,3,4.0,house,2019,Northern Beaches
2019-06-07,Whale Beach,2107.0,2920000,3.0,3,2.0,house,2019,Northern Beaches
2019-05-28,Avalon Beach,2107.0,1530000,3.0,1,2.0,house,2019,Northern Beaches
2019-05-22,Whale Beach,2107.0,8000000,5.0,4,4.0,house,2019,Northern Beaches
2019-05-10,Bilgola Plateau,2107.0,1610000,4.0,2,2.0,house,2019,Northern Beaches
2019-04-13,Avalon Beach,2107.0,1510000,3.0,1,2.0,house,2019,Northern Beaches
2019-04-11,Avalon Beach,2107.0,1500000,5.0,4,4.0,house,2019,Northern Beaches
2019-04-11,Avalon Beach,2107.0,1400000,3.0,1,2.0,house,2019,Northern Beaches
2019-04-09,Avalon Beach,2107.0,1210000,3.0,2,2.0,house,2019,Northern Beaches
2019-04-06,Avalon Beach,2107.0,2186000,4.0,2,2.0,house,2019,Northern Beaches
2019-03-30,Avalon Beach,2107.0,1425000,6.0,2,2.0,house,2019,Northern Beaches
2019-03-18,Avalon Beach,2107.0,2300000,4.0,2,3.0,house,2019,Northern Beaches
2019-03-16,Bilgola Plateau,2107.0,1425000,4.0,3,2.0,house,2019,Northern Beaches
2019-03-15,Avalon Beach,2107.0,1400000,4.0,3,3.0,house,2019,Northern Beaches
2019-03-09,Avalon Beach,2107.0,2420000,5.0,3,3.0,house,2019,Northern Beaches
2019-02-21,Avalon Beach,2107.0,1645000,4.0,2,3.0,house,2019,Northern Beaches
2019-02-20,Avalon Beach,2107.0,1285000,3.0,1,2.0,house,2019,Northern Beaches
2019-02-05,Avalon Beach,2107.0,1700000,3.0,2,3.0,house,2019,Northern Beaches
2019-01-25,Avalon Beach,2107.0,1325000,4.0,2,2.0,house,2019,Northern Beaches
2018-12-21,Avalon Beach,2107.0,1020000,2.0,1,1.0,house,2018,Northern Beaches
2018-12-19,Avalon Beach,2107.0,2040000,4.0,2,2.0,house,2018,Northern Beaches
2018-12-19,Avalon Beach,2107.0,1359000,4.0,3,2.0,house,2018,Northern Beaches
2018-12-15,Avalon Beach,2107.0,1715000,3.0,2,2.0,house,2018,Northern Beaches
2018-12-15,Bilgola Plateau,2107.0,1600000,3.0,2,2.0,house,2018,Northern Beaches
2018-12-11,Avalon Beach,2107.0,2150000,3.0,1,3.0,house,2018,Northern Beaches
2018-12-05,Avalon Beach,2107.0,1800000,5.0,1,1.0,house,2018,Northern Beaches
2018-11-30,Bilgola Plateau,2107.0,1590000,4.0,2,2.0,house,2018,Northern Beaches
2018-11-28,Avalon Beach,2107.0,1765000,3.0,3,3.0,house,2018,Northern Beaches
2018-11-20,Avalon Beach,2107.0,1300000,3.0,3,1.0,house,2018,Northern Beaches
2018-11-17,Avalon Beach,2107.0,1325000,4.0,2,3.0,house,2018,Northern Beaches
2018-11-16,Avalon Beach,2107.0,1810000,5.0,2,4.0,house,2018,Northern Beaches
2018-11-03,Avalon Beach,2107.0,2440000,6.0,3,2.0,house,2018,Northern Beaches
2018-10-30,Avalon Beach,2107.0,1435000,4.0,2,2.0,house,2018,Northern Beaches
2018-10-20,Avalon Beach,2107.0,1550000,4.0,3,2.0,house,2018,Northern Beaches
2018-10-19,Avalon Beach,2107.0,1500000,4.0,2,2.0,house,2018,Northern Beaches
2018-10-10,Bilgola Plateau,2107.0,1780000,4.0,3,1.0,house,2018,Northern Beaches
2018-10-06,Avalon Beach,2107.0,2487000,4.0,2,4.0,house,2018,Northern Beaches
2018-09-28,Avalon Beach,2107.0,2450000,5.0,3,2.0,house,2018,Northern Beaches
2018-09-26,Avalon Beach,2107.0,1450000,5.0,2,2.0,house,2018,Northern Beaches
2018-09-24,Bilgola Plateau,2107.0,1650000,5.0,3,2.0,house,2018,Northern Beaches
2018-09-22,Avalon Beach,2107.0,1900000,4.0,2,3.0,house,2018,Northern Beaches
2018-09-22,Bilgola Plateau,2107.0,1635000,4.0,3,2.0,house,2018,Northern Beaches
2018-09-17,Avalon Beach,2107.0,1675000,4.0,2,2.0,house,2018,Northern Beaches
2018-09-13,Avalon Beach,2107.0,1350000,3.0,1,2.0,house,2018,Northern Beaches
2018-09-09,Bilgola Plateau,2107.0,1475000,4.0,3,3.0,house,2018,Northern Beaches
2018-09-08,Avalon Beach,2107.0,1850000,4.0,2,2.0,house,2018,Northern Beaches
2018-09-07,Bilgola Plateau,2107.0,1310000,4.0,3,2.0,house,2018,Northern Beaches
2018-09-05,Avalon Beach,2107.0,2430000,6.0,5,3.0,house,2018,Northern Beaches
2018-09-01,Bilgola Plateau,2107.0,2270000,3.0,2,2.0,house,2018,Northern Beaches
2018-08-29,Avalon Beach,2107.0,1390000,3.0,2,2.0,townhouse,2018,Northern Beaches
2018-08-24,Avalon Beach,2107.0,1390000,4.0,2,2.0,house,2018,Northern Beaches
2018-08-22,Bilgola Plateau,2107.0,1450000,3.0,2,2.0,house,2018,Northern Beaches
2018-08-21,Avalon Beach,2107.0,1410000,5.0,2,2.0,house,2018,Northern Beaches
2018-08-17,Avalon Beach,2107.0,1585000,3.0,1,1.0,house,2018,Northern Beaches
2018-06-27,Avalon Beach,2107.0,1730000,3.0,1,1.0,house,2018,Northern Beaches
2018-06-23,Bilgola Plateau,2107.0,2399999,5.0,3,2.0,house,2018,Northern Beaches
2018-06-21,Avalon Beach,2107.0,1725000,4.0,3,2.0,house,2018,Northern Beaches
2018-06-16,Bilgola Plateau,2107.0,2200000,4.0,2,2.0,house,2018,Northern Beaches
2018-06-08,Avalon Beach,2107.0,2200000,5.0,3,2.0,house,2018,Northern Beaches
2018-06-07,Avalon Beach,2107.0,2320000,5.0,3,3.0,house,2018,Northern Beaches
2018-05-26,Avalon Beach,2107.0,2420000,6.0,4,3.0,house,2018,Northern Beaches
2018-05-26,Avalon Beach,2107.0,2080000,5.0,4,2.0,house,2018,Northern Beaches
2018-05-26,Avalon Beach,2107.0,1635000,3.0,2,2.0,townhouse,2018,Northern Beaches
2018-05-26,Avalon Beach,2107.0,1540000,5.0,3,3.0,house,2018,Northern Beaches
2018-05-22,Avalon Beach,2107.0,1953000,6.0,4,3.0,house,2018,Northern Beaches
2018-05-16,Avalon Beach,2107.0,2850000,5.0,3,3.0,house,2018,Northern Beaches
2018-05-12,Bilgola Plateau,2107.0,1400000,3.0,2,2.0,house,2018,Northern Beaches
2018-05-12,Bilgola Plateau,2107.0,1350000,3.0,1,2.0,house,2018,Northern Beaches
2018-05-06,Avalon Beach,2107.0,1810000,4.0,2,2.0,house,2018,Northern Beaches
2018-05-05,Bilgola Plateau,2107.0,1310000,4.0,3,2.0,house,2018,Northern Beaches
2018-04-28,Avalon Beach,2107.0,1075000,4.0,2,2.0,house,2018,Northern Beaches
2018-04-27,Avalon Beach,2107.0,1720000,4.0,1,7.0,house,2018,Northern Beaches
2018-04-20,Avalon Beach,2107.0,1605000,4.0,2,1.0,house,2018,Northern Beaches
2018-04-17,Avalon Beach,2107.0,2060000,5.0,2,2.0,house,2018,Northern Beaches
2018-04-14,Avalon Beach,2107.0,1459000,3.0,1,2.0,house,2018,Northern Beaches
2018-04-12,Bilgola Plateau,2107.0,1430000,4.0,2,2.0,house,2018,Northern Beaches
2018-04-10,Avalon Beach,2107.0,2470000,5.0,4,4.0,house,2018,Northern Beaches
2018-04-09,Avalon Beach,2107.0,1600000,3.0,2,2.0,house,2018,Northern Beaches
2018-04-08,Avalon Beach,2107.0,1770000,3.0,2,2.0,house,2018,Northern Beaches
2018-04-06,Avalon Beach,2107.0,1575000,3.0,1,2.0,house,2018,Northern Beaches
2018-04-06,Avalon Beach,2107.0,1530000,4.0,2,2.0,house,2018,Northern Beaches
2018-03-29,Avalon Beach,2107.0,1400000,4.0,3,3.0,house,2018,Northern Beaches
2018-03-24,Bilgola Plateau,2107.0,2425000,4.0,3,2.0,house,2018,Northern Beaches
2018-03-22,Bilgola Plateau,2107.0,1482500,4.0,2,2.0,house,2018,Northern Beaches
2018-03-22,Avalon Beach,2107.0,1400000,3.0,1,2.0,house,2018,Northern Beaches
2018-03-17,Avalon Beach,2107.0,2870000,5.0,3,3.0,house,2018,Northern Beaches
2018-03-17,Avalon Beach,2107.0,1822500,3.0,2,2.0,house,2018,Northern Beaches
2018-03-17,Avalon Beach,2107.0,1380000,3.0,2,2.0,house,2018,Northern Beaches
2018-03-16,Bilgola Plateau,2107.0,1530000,4.0,2,3.0,house,2018,Northern Beaches
2018-03-13,Avalon Beach,2107.0,1300000,3.0,2,2.0,house,2018,Northern Beaches
2018-03-10,Avalon Beach,2107.0,1375000,4.0,2,1.0,house,2018,Northern Beaches
2018-03-08,Avalon Beach,2107.0,1850000,5.0,3,2.0,house,2018,Northern Beaches
2018-03-07,Avalon Beach,2107.0,2167000,3.0,2,3.0,house,2018,Northern Beaches
2018-03-07,Avalon Beach,2107.0,2100000,3.0,3,1.0,house,2018,Northern Beaches
2018-03-02,Avalon Beach,2107.0,1307000,4.0,2,2.0,house,2018,Northern Beaches
2018-02-26,Avalon Beach,2107.0,2400000,3.0,2,1.0,house,2018,Northern Beaches
2018-02-24,Avalon Beach,2107.0,1875000,4.0,3,2.0,house,2018,Northern Beaches
2018-02-24,Bilgola Plateau,2107.0,1860000,4.0,2,2.0,house,2018,Northern Beaches
2018-02-21,Avalon Beach,2107.0,1863500,4.0,2,1.0,house,2018,Northern Beaches
